country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Philippines,2009,10111,"Horses, live pure-bred breeding",Import,404913,43666.0,Number of items,58.0,01_live_animals
Philippines,2009,10119,"Horses, live except pure-bred breeding",Import,86687,10001.0,Number of items,12.0,01_live_animals
Philippines,2009,10210,"Bovine animals, live pure-bred breeding",Import,540422,167244.0,Number of items,464.0,01_live_animals
Philippines,2009,10290,"Bovine animals, live, except pure-bred breeding",Import,7107621,3426060.0,Number of items,10564.0,01_live_animals
Philippines,2009,10310,"Swine, live pure-bred breeding",Import,94701,3040.0,Number of items,71.0,01_live_animals
Philippines,2009,10420,"Goats, live",Import,133164,21697.0,Number of items,579.0,01_live_animals
Philippines,2009,10511,"Fowls, live domestic < 185 grams",Import,5562944,49270.0,Number of items,801614.0,01_live_animals
Philippines,2009,10511,"Fowls, live domestic < 185 grams",Export,505953,10710.0,Number of items,171522.0,01_live_animals
Philippines,2009,10591,"Fowls, live domestic > 185 grams",Import,2295357,47445.0,Number of items,16076.0,01_live_animals
Philippines,2009,10591,"Fowls, live domestic > 185 grams",Export,33500,505.0,Number of items,206.0,01_live_animals
Philippines,2009,10600,"Animals, live, except farm animals",Import,90344,4998.0,Number of items,3416.0,01_live_animals
Philippines,2009,10600,"Animals, live, except farm animals",Export,2170675,22161.0,Number of items,860686.0,01_live_animals
Philippines,2008,10111,"Horses, live pure-bred breeding",Import,658098,93435.0,Number of items,594.0,01_live_animals
Philippines,2008,10119,"Horses, live except pure-bred breeding",Import,475198,20155.0,Number of items,48.0,01_live_animals
Philippines,2008,10290,"Bovine animals, live, except pure-bred breeding",Import,5057701,2863088.0,Number of items,8976.0,01_live_animals
Philippines,2008,10310,"Swine, live pure-bred breeding",Import,815642,40363.0,Number of items,810.0,01_live_animals
Philippines,2008,10420,"Goats, live",Import,11150,1614.0,Number of items,84.0,01_live_animals
Philippines,2008,10511,"Fowls, live domestic < 185 grams",Import,3752617,28799.0,Number of items,474605.0,01_live_animals
Philippines,2008,10511,"Fowls, live domestic < 185 grams",Export,723351,16374.0,Number of items,280126.0,01_live_animals
Philippines,2008,10591,"Fowls, live domestic > 185 grams",Import,2213338,41636.0,Number of items,15025.0,01_live_animals
Philippines,2008,10591,"Fowls, live domestic > 185 grams",Export,1030,411.0,Number of items,258.0,01_live_animals
Philippines,2008,10600,"Animals, live, except farm animals",Import,88118,3489.0,Number of items,7917.0,01_live_animals
Philippines,2008,10600,"Animals, live, except farm animals",Export,3033151,21836.0,Number of items,1291720.0,01_live_animals
Philippines,2007,10111,"Horses, live pure-bred breeding",Import,406125,82750.0,Number of items,170.0,01_live_animals
Philippines,2007,10210,"Bovine animals, live pure-bred breeding",Import,524843,228148.0,Number of items,792.0,01_live_animals
Philippines,2007,10290,"Bovine animals, live, except pure-bred breeding",Import,6392905,3175988.0,Number of items,9749.0,01_live_animals
Philippines,2007,10310,"Swine, live pure-bred breeding",Import,423947,28978.0,Number of items,440.0,01_live_animals
Philippines,2007,10410,"Sheep, live",Import,7047,13371.0,Number of items,100.0,01_live_animals
Philippines,2007,10420,"Goats, live",Import,134951,43571.0,Number of items,16647.0,01_live_animals
Philippines,2007,10511,"Fowls, live domestic < 185 grams",Import,5602833,52599.0,Number of items,879172.0,01_live_animals
Philippines,2007,10511,"Fowls, live domestic < 185 grams",Export,851383,22801.0,Number of items,340342.0,01_live_animals
Philippines,2007,10591,"Fowls, live domestic > 185 grams",Import,2517620,47693.0,Number of items,29874.0,01_live_animals
Philippines,2007,10591,"Fowls, live domestic > 185 grams",Export,2000,125.0,Number of items,50.0,01_live_animals
Philippines,2007,10600,"Animals, live, except farm animals",Import,81907,3627.0,Number of items,334.0,01_live_animals
Philippines,2007,10600,"Animals, live, except farm animals",Export,2537575,22706.0,Number of items,1106732.0,01_live_animals
Philippines,2006,10111,"Horses, live pure-bred breeding",Import,432811,117588.0,No Quantity,,01_live_animals
Philippines,2006,10119,"Horses, live except pure-bred breeding",Import,64971,12190.0,Number of items,6.0,01_live_animals
Philippines,2006,10119,"Horses, live except pure-bred breeding",Export,2894,689.0,Number of items,0.0,01_live_animals
Philippines,2006,10210,"Bovine animals, live pure-bred breeding",Import,3028340,2461308.0,No Quantity,,01_live_animals
Philippines,2006,10290,"Bovine animals, live, except pure-bred breeding",Import,7987755,5103739.0,Number of items,23830.0,01_live_animals
Philippines,2006,10310,"Swine, live pure-bred breeding",Import,761723,82907.0,No Quantity,,01_live_animals
Philippines,2006,10391,"Swine, live except pure-bred breeding < 50 kg",Import,112491,6000.0,No Quantity,,01_live_animals
Philippines,2006,10420,"Goats, live",Import,113604,33209.0,No Quantity,,01_live_animals
Philippines,2006,10511,"Fowls, live domestic < 185 grams",Import,4949697,45196.0,Number of items,1847553.0,01_live_animals
Philippines,2006,10511,"Fowls, live domestic < 185 grams",Export,579008,16510.0,Number of items,185762.0,01_live_animals
Philippines,2006,10519,"Poultry, live except domestic fowls, < 185 grams",Import,1828,2206.0,No Quantity,,01_live_animals
Philippines,2006,10591,"Fowls, live domestic > 185 grams",Import,2400861,58616.0,No Quantity,,01_live_animals
Philippines,2006,10591,"Fowls, live domestic > 185 grams",Export,18375,39600.0,No Quantity,,01_live_animals
Philippines,2006,10600,"Animals, live, except farm animals",Import,27725,1664.0,No Quantity,,01_live_animals
Philippines,2006,10600,"Animals, live, except farm animals",Export,1911980,67657.0,No Quantity,,01_live_animals
Philippines,2005,10111,"Horses, live pure-bred breeding",Import,124648,18050.0,No Quantity,,01_live_animals
Philippines,2005,10119,"Horses, live except pure-bred breeding",Import,316338,46021.0,Number of items,29.0,01_live_animals
Philippines,2005,10119,"Horses, live except pure-bred breeding",Export,2382186,29810.0,Number of items,376.0,01_live_animals
Philippines,2005,10210,"Bovine animals, live pure-bred breeding",Import,1152690,698600.0,No Quantity,,01_live_animals
Philippines,2005,10290,"Bovine animals, live, except pure-bred breeding",Import,11186416,6900777.0,Number of items,33373.0,01_live_animals
Philippines,2005,10310,"Swine, live pure-bred breeding",Import,641001,62815.0,No Quantity,,01_live_animals
Philippines,2005,10420,"Goats, live",Import,4614,502.0,No Quantity,,01_live_animals
Philippines,2005,10511,"Fowls, live domestic < 185 grams",Import,4328472,44992.0,Number of items,1615671.0,01_live_animals
Philippines,2005,10511,"Fowls, live domestic < 185 grams",Export,753655,18400.0,Number of items,241794.0,01_live_animals
Philippines,2005,10591,"Fowls, live domestic > 185 grams",Import,2334231,57285.0,No Quantity,,01_live_animals
Philippines,2005,10591,"Fowls, live domestic > 185 grams",Export,64721,14143.0,No Quantity,,01_live_animals
Philippines,2005,10600,"Animals, live, except farm animals",Import,96722,25540.0,No Quantity,,01_live_animals
Philippines,2005,10600,"Animals, live, except farm animals",Export,1639314,27228.0,No Quantity,,01_live_animals
Philippines,2004,10111,"Horses, live pure-bred breeding",Import,236863,34800.0,No Quantity,,01_live_animals
Philippines,2004,10119,"Horses, live except pure-bred breeding",Import,305620,36584.0,Number of items,28.0,01_live_animals
Philippines,2004,10119,"Horses, live except pure-bred breeding",Export,40685,27121.0,Number of items,6.0,01_live_animals
Philippines,2004,10210,"Bovine animals, live pure-bred breeding",Import,2516838,2162910.0,No Quantity,,01_live_animals
Philippines,2004,10290,"Bovine animals, live, except pure-bred breeding",Import,20824780,14481347.0,Number of items,62127.0,01_live_animals
Philippines,2004,10310,"Swine, live pure-bred breeding",Import,472768,133394.0,No Quantity,,01_live_animals
Philippines,2004,10420,"Goats, live",Import,137665,13021.0,No Quantity,,01_live_animals
Philippines,2004,10511,"Fowls, live domestic < 185 grams",Import,5958648,62244.0,Number of items,2224160.0,01_live_animals
Philippines,2004,10511,"Fowls, live domestic < 185 grams",Export,501290,12396.0,Number of items,160828.0,01_live_animals
Philippines,2004,10591,"Fowls, live domestic > 185 grams",Import,1321447,34961.0,No Quantity,,01_live_animals
Philippines,2004,10591,"Fowls, live domestic > 185 grams",Export,266794,18889.0,No Quantity,,01_live_animals
Philippines,2004,10600,"Animals, live, except farm animals",Import,194604,2119.0,No Quantity,,01_live_animals
Philippines,2004,10600,"Animals, live, except farm animals",Export,1858417,149447.0,No Quantity,,01_live_animals
Philippines,2003,10111,"Horses, live pure-bred breeding",Import,281668,41870.0,No Quantity,,01_live_animals
Philippines,2003,10119,"Horses, live except pure-bred breeding",Export,52244,29577.0,Number of items,6.0,01_live_animals
Philippines,2003,10119,"Horses, live except pure-bred breeding",Import,191730,23703.0,Number of items,17.0,01_live_animals
Philippines,2003,10210,"Bovine animals, live pure-bred breeding",Import,5301173,6132654.0,Number of items,4142.0,01_live_animals
Philippines,2003,10290,"Bovine animals, live, except pure-bred breeding",Import,23152938,22107937.0,Number of items,65926.0,01_live_animals
Philippines,2003,10310,"Swine, live pure-bred breeding",Import,134947,8628.0,No Quantity,,01_live_animals
Philippines,2003,10420,"Goats, live",Import,11883,11770.0,No Quantity,,01_live_animals
Philippines,2003,10511,"Fowls, live domestic < 185 grams",Export,316914,10019.0,Number of items,126630.0,01_live_animals
Philippines,2003,10511,"Fowls, live domestic < 185 grams",Import,7700823,115652.0,Number of items,2638745.0,01_live_animals
Philippines,2003,10591,"Fowls, live domestic > 185 grams",Export,93320,7132.0,No Quantity,,01_live_animals
Philippines,2003,10591,"Fowls, live domestic > 185 grams",Import,1665452,55088.0,No Quantity,,01_live_animals
Philippines,2003,10600,"Animals, live, except farm animals",Export,1487676,32247.0,No Quantity,,01_live_animals
Philippines,2003,10600,"Animals, live, except farm animals",Import,18213,2528.0,No Quantity,,01_live_animals
Philippines,2002,10111,"Horses, live pure-bred breeding",Import,279126,45474.0,No Quantity,,01_live_animals
Philippines,2002,10119,"Horses, live except pure-bred breeding",Export,4042896,3068592.0,Number of items,507.0,01_live_animals
Philippines,2002,10119,"Horses, live except pure-bred breeding",Import,87331,21304.0,Number of items,8.0,01_live_animals
Philippines,2002,10210,"Bovine animals, live pure-bred breeding",Import,3297715,3964204.0,Number of items,3441.0,01_live_animals
Philippines,2002,10290,"Bovine animals, live, except pure-bred breeding",Import,30788852,30948443.0,No Quantity,,01_live_animals
Philippines,2002,10310,"Swine, live pure-bred breeding",Import,733503,70183.0,No Quantity,,01_live_animals
Philippines,2002,10410,"Sheep, live",Import,28490,1790.0,No Quantity,,01_live_animals
Philippines,2002,10420,"Goats, live",Import,3035,446.0,No Quantity,,01_live_animals
Philippines,2002,10511,"Fowls, live domestic < 185 grams",Export,789321,38273.0,Number of items,346321.0,01_live_animals
Philippines,2002,10511,"Fowls, live domestic < 185 grams",Import,10219863,138226.0,Number of items,4812078.0,01_live_animals
Philippines,2002,10519,"Poultry, live except domestic fowls, < 185 grams",Import,9935,280.0,No Quantity,,01_live_animals
Philippines,2002,10591,"Fowls, live domestic > 185 grams",Export,187198,22332.0,No Quantity,,01_live_animals
Philippines,2002,10591,"Fowls, live domestic > 185 grams",Import,997487,30981.0,No Quantity,,01_live_animals
Philippines,2002,10600,"Animals, live, except farm animals",Export,1412793,37529.0,No Quantity,,01_live_animals
Philippines,2002,10600,"Animals, live, except farm animals",Import,2804,816.0,No Quantity,,01_live_animals
Philippines,2001,10111,"Horses, live pure-bred breeding",Import,208142,33700.0,Number of items,29.0,01_live_animals
Philippines,2001,10119,"Horses, live except pure-bred breeding",Import,143766,5800.0,No Quantity,,01_live_animals
Philippines,2001,10119,"Horses, live except pure-bred breeding",Export,139912,3277.0,Number of items,15.0,01_live_animals
Philippines,2001,10210,"Bovine animals, live pure-bred breeding",Import,3860277,5172220.0,No Quantity,,01_live_animals
Philippines,2001,10290,"Bovine animals, live, except pure-bred breeding",Import,20344900,23423918.0,No Quantity,,01_live_animals
Philippines,2001,10310,"Swine, live pure-bred breeding",Import,1022116,175056.0,No Quantity,,01_live_animals
Philippines,2001,10392,"Swine, live except pure-bred breeding > 50 kg",Import,33957,20580.0,No Quantity,,01_live_animals
Philippines,2001,10420,"Goats, live",Import,63900,3855.0,No Quantity,,01_live_animals
Philippines,2001,10511,"Fowls, live domestic < 185 grams",Import,8803644,124309.0,Number of items,4574969.0,01_live_animals
Philippines,2001,10519,"Poultry, live except domestic fowls, < 185 grams",Import,24943,896.0,No Quantity,,01_live_animals
Philippines,2001,10591,"Fowls, live domestic > 185 grams",Import,619243,15173.0,No Quantity,,01_live_animals
Philippines,2001,10591,"Fowls, live domestic > 185 grams",Export,144760,13406.0,No Quantity,,01_live_animals
Philippines,2001,10600,"Animals, live, except farm animals",Import,3023413,18710.0,No Quantity,,01_live_animals
Philippines,2001,10600,"Animals, live, except farm animals",Export,1433021,33633.0,No Quantity,,01_live_animals
Philippines,2000,10111,"Horses, live pure-bred breeding",Import,153501,26380.0,No Quantity,,01_live_animals
Philippines,2000,10290,"Bovine animals, live, except pure-bred breeding",Import,57671226,61280919.0,No Quantity,,01_live_animals
Philippines,2000,10310,"Swine, live pure-bred breeding",Import,1091333,94182.0,No Quantity,,01_live_animals
Philippines,2000,10392,"Swine, live except pure-bred breeding > 50 kg",Import,10106,4500.0,No Quantity,,01_live_animals
Philippines,2000,10420,"Goats, live",Import,13389,12537.0,No Quantity,,01_live_animals
Philippines,2000,10511,"Fowls, live domestic < 185 grams",Import,7314481,95559.0,Number of items,2912439.0,01_live_animals
Philippines,2000,10511,"Fowls, live domestic < 185 grams",Export,126610,5936.0,Number of items,47312.0,01_live_animals
Philippines,2000,10519,"Poultry, live except domestic fowls, < 185 grams",Import,25372,697.0,No Quantity,,01_live_animals
Philippines,2000,10591,"Fowls, live domestic > 185 grams",Import,875383,24331.0,No Quantity,,01_live_animals
Philippines,2000,10591,"Fowls, live domestic > 185 grams",Export,140140,8915.0,No Quantity,,01_live_animals
Philippines,2000,10600,"Animals, live, except farm animals",Import,9061,211.0,No Quantity,,01_live_animals
Philippines,2000,10600,"Animals, live, except farm animals",Export,1408746,27511.0,No Quantity,,01_live_animals
Philippines,1999,10111,"Horses, live pure-bred breeding",Import,235856,38327.0,Weight in kilograms,38327.0,01_live_animals
Philippines,1999,10119,"Horses, live except pure-bred breeding",Export,4232,652.0,Weight in kilograms,652.0,01_live_animals
Philippines,1999,10210,"Bovine animals, live pure-bred breeding",Import,29070,2500.0,Weight in kilograms,2500.0,01_live_animals
Philippines,1999,10290,"Bovine animals, live, except pure-bred breeding",Import,82349584,73426200.0,Weight in kilograms,73426200.0,01_live_animals
Philippines,1999,10310,"Swine, live pure-bred breeding",Import,2892935,107076.0,Weight in kilograms,107076.0,01_live_animals
Philippines,1999,10511,"Fowls, live domestic < 185 grams",Import,6829057,101046.0,Weight in kilograms,101046.0,01_live_animals
Philippines,1999,10511,"Fowls, live domestic < 185 grams",Export,85900,3062.0,Weight in kilograms,3062.0,01_live_animals
Philippines,1999,10519,"Poultry, live except domestic fowls, < 185 grams",Import,4377,243.0,Weight in kilograms,243.0,01_live_animals
Philippines,1999,10591,"Fowls, live domestic > 185 grams",Import,653871,19857.0,Weight in kilograms,19857.0,01_live_animals
Philippines,1999,10591,"Fowls, live domestic > 185 grams",Export,195519,9394.0,Weight in kilograms,9394.0,01_live_animals
Philippines,1999,10599,"Poultry, live except domestic fowls, > 185 grams",Export,2359,359.0,Weight in kilograms,359.0,01_live_animals
Philippines,1999,10600,"Animals, live, except farm animals",Import,60264,8220.0,Weight in kilograms,8220.0,01_live_animals
Philippines,1999,10600,"Animals, live, except farm animals",Export,1468678,23728.0,Weight in kilograms,23728.0,01_live_animals
Philippines,1998,10111,"Horses, live pure-bred breeding",Import,30244,10000.0,Weight in kilograms,10000.0,01_live_animals
Philippines,1998,10111,"Horses, live pure-bred breeding",Export,400000,5000.0,Weight in kilograms,5000.0,01_live_animals
Philippines,1998,10119,"Horses, live except pure-bred breeding",Export,4500,89.0,Weight in kilograms,89.0,01_live_animals
Philippines,1998,10210,"Bovine animals, live pure-bred breeding",Import,4299996,276937.0,Weight in kilograms,276937.0,01_live_animals
Philippines,1998,10290,"Bovine animals, live, except pure-bred breeding",Import,68584424,58730816.0,Weight in kilograms,58730816.0,01_live_animals
Philippines,1998,10310,"Swine, live pure-bred breeding",Import,1308521,181889.0,Weight in kilograms,181889.0,01_live_animals
Philippines,1998,10511,"Fowls, live domestic < 185 grams",Import,1814318,70851.0,Weight in kilograms,70851.0,01_live_animals
Philippines,1998,10511,"Fowls, live domestic < 185 grams",Export,14280,578.0,Weight in kilograms,578.0,01_live_animals
Philippines,1998,10591,"Fowls, live domestic > 185 grams",Import,93772,2827.0,Weight in kilograms,2827.0,01_live_animals
Philippines,1998,10591,"Fowls, live domestic > 185 grams",Export,130279,6000.0,Weight in kilograms,6000.0,01_live_animals
Philippines,1998,10600,"Animals, live, except farm animals",Import,668,62.0,Weight in kilograms,62.0,01_live_animals
Philippines,1998,10600,"Animals, live, except farm animals",Export,1663825,21747.0,Weight in kilograms,21747.0,01_live_animals
Philippines,1997,10111,"Horses, live pure-bred breeding",Import,447391,46655.0,Weight in kilograms,46655.0,01_live_animals
Philippines,1997,10119,"Horses, live except pure-bred breeding",Import,6180,1812.0,Weight in kilograms,1812.0,01_live_animals
Philippines,1997,10119,"Horses, live except pure-bred breeding",Export,30500,6812.0,Weight in kilograms,6812.0,01_live_animals
Philippines,1997,10210,"Bovine animals, live pure-bred breeding",Import,507778,245386.0,Weight in kilograms,245386.0,01_live_animals
Philippines,1997,10290,"Bovine animals, live, except pure-bred breeding",Import,92565792,68962496.0,Weight in kilograms,68962496.0,01_live_animals
Philippines,1997,10310,"Swine, live pure-bred breeding",Import,4680448,505740.0,Weight in kilograms,505740.0,01_live_animals
Philippines,1997,10420,"Goats, live",Import,19753,976.0,Weight in kilograms,976.0,01_live_animals
Philippines,1997,10511,"Fowls, live domestic < 185 grams",Import,5073571,50901.0,Weight in kilograms,50901.0,01_live_animals
Philippines,1997,10511,"Fowls, live domestic < 185 grams",Export,17666,699.0,Weight in kilograms,699.0,01_live_animals
